Street1,Street2,City,State,Zip,Latitude,Longitude,County,Census Year,ACS Demographics/Population by age range/Total/Value,ACS Demographics/Race and ethnicity/Not Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Demographics/Race and ethnicity/Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Economics/Number of households/Total/Value,ACS Economics/Median household income/Total/Value,"ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$200,000 or more/Value",ACS Housing/Median value of owner-occupied housing units/Total/Value,"ACS Housing/Value of owner-occupied housing units/Less than $10,000/Value","ACS Housing/Value of owner-occupied housing units/$10,000 to $14,999/Value","ACS Housing/Value of owner-occupied housing units/$15,000 to $19,999/Value","ACS Housing/Value of owner-occupied housing units/$20,000 to $24,999/Value","ACS Housing/Value of owner-occupied housing units/$25,000 to $29,999/Value","ACS Housing/Value of owner-occupied housing units/$30,000 to $34,999/Value","ACS Housing/Value of owner-occupied housing units/$35,000 to $39,999/Value","ACS Housing/Value of owner-occupied housing units/$40,000 to $49,999/Value","ACS Housing/Value of owner-occupied housing units/$50,000 to $59,999/Value","ACS Housing/Value of owner-occupied housing units/$60,000 to $69,999/Value","ACS Housing/Value of owner-occupied housing units/$70,000 to $79,999/Value","ACS Housing/Value of owner-occupied housing units/$80,000 to $89,999/Value","ACS Housing/Value of owner-occupied housing units/$90,000 to $99,999/Value","ACS Housing/Value of owner-occupied housing units/$100,000 to $124,999/Value","ACS Housing/Value of owner-occupied housing units/$125,000 to $149,999/Value","ACS Housing/Value of owner-occupied housing units/$150,000 to $174,999/Value","ACS Housing/Value of owner-occupied housing units/$175,000 to $199,999/Value","ACS Housing/Value of owner-occupied housing units/$200,000 to $249,999/Value","ACS Housing/Value of owner-occupied housing units/$250,000 to $299,999/Value","ACS Housing/Value of owner-occupied housing units/$300,000 to $399,999/Value","ACS Housing/Value of owner-occupied housing units/$400,000 to $499,999/Value","ACS Housing/Value of owner-occupied housing units/$500,000 to $749,999/Value","ACS Housing/Value of owner-occupied housing units/$750,000 to $999,999/Value","ACS Housing/Value of owner-occupied housing units/$1,000,000 to $1,499,999/Value","ACS Housing/Value of owner-occupied housing units/$1,500,000 to $1,999,999/Value","ACS Housing/Value of owner-occupied housing units/$2,000,000 or more/Value"
1930 Saranac Ave.,,Lake Placid,NY,,44.294308,-74.010986,Essex County,2019,1404,0.989,0.997,0,0,0,0,0,0.003,0,1,0.011,0,1,0,0,0,0,0,0,0,531,65163,13,0,25,0,37,13,42,32,0,33,135,54,43,36,68,0,251900,0,0,0,0,0,0,13,0,0,0,13,0,0,25,0,29,0,43,13,26,33,52,0,0,0,0
873 New Loudon Road,,Latham,NY,,42.755378,-73.758745,Albany County,2019,2542,0.957,0.777,0.076,0,0.147,0,0,0,0,0,0.043,0.436,0,0.382,0,0,0,0.182,0,1,947,113125,14,37,0,53,0,14,37,31,48,44,13,85,176,79,167,149,332900,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,13,46,141,380,62,14,0,13,0,0
555 East Main Street,,Little Falls,NY,,43.042311,-74.858339,Herkimer County,2019,568,1,0.989,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,29250,21,10,73,23,10,15,36,0,14,21,33,0,0,0,0,12,79300,0,0,0,0,0,0,9,14,7,6,29,16,12,9,9,9,0,6,0,0,0,0,0,0,0,0
3863 State Rte 31,,Liverpool,NY,,43.188346,-76.245737,Onondaga County,2019,1571,0.982,0.957,0.029,0,0,0,0,0.015,0,1,0.018,0.586,0,0,0,0,0.414,0,0,0,833,53281,37,22,15,26,43,90,45,28,25,132,113,82,23,24,81,47,147900,0,0,0,0,0,7,0,0,0,21,0,29,0,68,72,43,25,52,32,12,21,0,0,0,0,0
53 Finney Blvd,,Malone,NY,,44.845996,-74.301342,Franklin County,2019,1743,0.995,1,0,0,0,0,0,0,0,0,0.005,1,0,0,0,0,0,0,0,0,725,31542,106,76,53,30,79,39,51,40,14,67,42,32,38,7,19,32,107500,5,0,0,0,0,0,0,6,8,9,20,19,27,77,24,2,26,0,4,7,0,0,0,0,0,0
152 Harte Haven Plaza,,Massena,NY,,44.920382,-74.880395,St. Lawrence County,2019,635,1,0.956,0.005,0.02,0,0,0,0.019,0,1,0,0,0,0,0,0,0,0,0,0,271,27663,64,25,0,0,68,0,12,11,0,0,37,35,19,0,0,0,83000,0,0,0,0,0,0,0,0,36,0,11,30,0,23,12,0,0,0,0,0,0,0,0,0,0,0
1 Price Chopper Plaza,,Mechanicville,NY,,42.909939,-73.685393,Saratoga County,2019,2862,0.951,0.997,0,0,0.003,0,0,0,0,0,0.049,0.9,0,0,0,0,0.1,0,0,0,1148,70395,16,21,14,79,70,100,34,0,90,37,177,117,111,42,130,110,228000,44,19,0,0,53,17,0,0,0,0,0,18,0,22,24,120,31,202,122,158,60,32,0,0,0,0
511 Schutt Road Ext.,,Middletown,NY,,41.450354,-74.383008,Orange County,2019,1515,0.859,0.762,0.201,0,0,0,0,0.037,0,1,0.141,0.836,0.089,0,0,0,0.075,0,0,0,450,98611,8,6,7,14,0,22,6,0,26,18,45,78,12,108,26,74,267300,0,0,8,0,0,0,0,0,0,0,0,12,0,7,9,38,66,21,94,59,61,12,0,0,0,0
4535 Commercial Drive,,New Hartford,NY,,43.085962,-75.318934,Oneida County,2019,2072,1,0.979,0.014,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,47929,14,72,43,51,123,47,115,64,70,118,151,28,57,91,60,36,83400,15,62,102,37,50,74,50,68,16,24,0,34,49,55,142,82,17,64,0,78,0,0,0,0,0,0
115 Temple Hill Road,,New Windsor,NY,,41.455179,-74.059301,Orange County,2019,956,0.801,0.349,0.333,0,0.319,0,0,0,0,0,0.199,0.605,0,0,0,0,0.395,0,0,0,367,65239,0,0,16,98,22,9,10,8,0,9,62,48,53,32,0,0,222100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,68,18,0,0,0,0,0,0,0
39 North Plank Road,,Newburgh,NY,,41.521031,-74.028854,Orange County,2019,930,0.665,0.803,0.197,0,0,0,0,0,0,0,0.335,0.728,0,0,0,0.208,0.064,0,0,0,339,76875,0,28,9,17,0,22,0,34,0,18,37,54,11,68,9,32,227600,9,0,0,0,0,0,0,0,0,18,0,0,0,0,16,33,0,126,89,0,0,0,0,0,0,0
5631 State Highway 12,,Norwich,NY,,42.548611,-75.525201,Chenango County,2019,1347,0.998,0.985,0,0,0,0,0,0.015,0,1,0.002,0,0,0,0,0,0,1,1,0,580,51111,30,55,18,39,35,57,23,11,14,55,87,53,32,9,35,27,85000,12,0,16,0,10,9,32,91,22,7,22,51,15,23,46,26,47,19,6,20,3,3,9,4,0,0
 981 Ford St,,Ogdensburg,NY,13669,44.69423,-75.48634,St. Lawrence County,2019,860,0.994,0.903,0.021,0,0.055,0,0,0.021,0,1,0.006,0,0,0,0,0,0,1,1,0,337,59676,0,9,33,24,0,35,18,9,17,27,58,49,26,21,11,0,76900,0,0,0,0,0,0,0,21,0,48,57,0,37,29,0,8,0,0,0,0,0,0,0,0,8,9
142 Genesee Street,,Oneida,NY,,43.079653,-75.643855,Madison County,2019,1325,0.922,1,0,0,0,0,0,0,0,0,0.078,1,0,0,0,0,0,0,0,0,444,60024,19,20,17,27,44,0,0,0,50,44,104,42,53,5,0,19,131700,0,0,0,0,0,0,0,0,0,0,19,0,29,91,86,20,79,0,0,0,0,0,0,0,0,0
1000 Main Street,,Oneonta,NY,,42.156422,-74.529267,Delaware County,2019,706,0.984,0.983,0,0,0,0,0,0.017,0,1,0.016,0.273,0,0,0,0,0.727,0,0,0,420,33879,21,112,13,28,5,44,9,22,0,65,64,12,11,0,5,9,207200,0,0,0,0,0,0,0,26,0,0,29,2,0,20,32,5,7,45,0,42,9,0,0,38,0,0
137 State Route 104,,Oswego,NY,,43.462537,-76.486526,Oswego County,2019,1623,0.981,0.975,0,0.001,0.016,0,0,0.008,0,1,0.019,1,0,0,0,0,0,0,0,0,682,34500,97,60,17,61,47,66,29,60,29,11,51,23,32,70,22,7,74800,16,17,0,0,32,0,0,20,24,42,65,0,16,85,24,17,0,0,0,7,0,0,0,0,0,0
42 W Main St,,Owego,NY,,42.098235,-76.269956,Tioga County,2019,1276,0.964,0.955,0,0,0.045,0,0,0,0,0,0.036,1,0,0,0,0,0,0,0,0,526,56250,55,73,17,7,21,0,0,18,37,54,14,68,71,23,40,28,107600,0,0,0,0,0,12,0,11,15,32,33,29,26,84,0,31,63,26,5,0,0,0,0,0,0,0
6025 NY State Route 5,,Palatine Bridge,NY,,42.916543,-74.591969,Montgomery County,2019,1807,0.912,0.951,0.008,0,0.036,0,0,0.004,0.429,0.571,0.088,0.082,0,0,0,0,0.906,0.013,1,0,677,50474,30,24,76,77,22,51,9,31,13,83,71,67,34,53,32,4,85100,17,0,0,0,18,12,7,36,29,19,43,42,29,50,4,47,15,26,4,2,0,5,0,0,0,0
19 Centre Dr,,Plattsburg,NY,,44.69547,-73.492449,Clinton County,2019,1580,0.996,0.925,0.022,0,0,0,0.009,0.044,0,1,0.004,0.286,0,0.286,0,0,0.429,0,0,0,718,38281,46,58,36,30,28,113,59,27,3,65,124,46,48,25,10,0,73700,97,10,14,10,5,17,0,26,30,16,50,30,31,98,25,0,8,0,2,12,0,0,0,0,0,6
201 Market Street,,Potsdam,NY,,44.685742,-74.989312,St. Lawrence County,2019,613,0.997,0.971,0,0,0,0,0,0.029,0,1,0.003,1,0,0,0,0,0,0,0,0,319,33203,28,47,38,22,20,16,0,0,17,16,23,36,17,8,31,0,134100,0,0,0,0,13,0,0,0,9,7,0,10,0,20,41,29,7,0,0,0,0,12,0,0,0,0
2585 South Road,,Poughkeepsie,NY,,41.656283,-73.93081,Dutchess County,2019,638,0.887,0.714,0.053,0,0.11,0,0,0.124,0,1,0.113,0.722,0,0,0,0,0.167,0.111,1,0,337,69844,33,12,0,0,0,19,13,0,0,61,39,41,59,0,38,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
677 Upper Glen Street,,Queensbury,NY,,43.325179,-73.666931,Warren County,2019,1686,0.996,0.949,0,0,0.051,0,0,0,0,0,0.004,1,0,0,0,0,0,0,0,0,856,51474,24,49,14,39,36,67,53,57,43,93,40,206,82,7,25,21,186200,0,0,0,17,0,0,0,0,0,0,0,0,0,72,22,52,79,99,28,13,0,15,0,0,0,0
501 Columbia Turnpike,,Rennselaer,NY,,42.605313,-73.718037,Rensselaer County,2019,3045,0.986,0.848,0.032,0,0.115,0,0,0.005,0,1,0.014,0.25,0,0,0,0,0.75,0,0,0,1392,81607,15,16,0,13,59,14,19,49,43,27,270,301,174,140,151,101,235800,0,0,0,0,0,0,0,0,0,0,0,0,72,0,18,98,61,388,171,188,57,0,0,0,0,0
1 Main Street,,Richfield Springs,NY,,42.858205,-74.995434,Otsego County,2019,1153,0.971,0.969,0.013,0,0.015,0,0,0.003,0,1,0.029,0.909,0,0,0,0,0,0.091,1,0,538,40395,28,48,43,26,50,30,41,22,18,56,67,54,36,12,2,5,112900,9,0,0,0,0,3,0,0,12,11,14,36,30,60,24,26,9,33,0,14,3,8,0,0,0,0
1790 Black River Blvd.,,Rome,NY,,43.232295,-75.436602,Oneida County,2019,1378,0.969,0.96,0.015,0,0,0,0,0.025,0,1,0.031,0.837,0,0,0,0,0,0.163,0,1,583,66406,17,4,4,26,32,9,21,26,18,91,101,55,16,38,81,44,158100,16,0,5,0,0,5,0,0,0,6,5,11,18,44,97,121,48,80,9,21,6,0,0,0,0,0
115 Ballston Ave.,,Saratoga Springs,NY,,43.072294,-73.793005,Saratoga County,2019,959,1,0.974,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,78722,26,15,19,0,0,63,37,0,19,37,40,61,35,18,96,90,339800,0,0,19,0,0,0,0,0,0,0,0,0,0,0,21,21,0,46,24,152,49,51,0,0,0,0
55 Railroad Place,,Saratoga Springs,NY,,43.0825,-73.787752,Saratoga County,2019,1555,0.952,0.931,0,0,0.064,0,0,0.005,0,1,0.048,0.733,0.133,0,0,0,0.133,0,0,0,922,74063,19,66,33,18,54,58,0,71,48,53,47,203,91,29,83,49,704500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,38,19,99,133,0,0,0
3045 Route 50,,Saratoga Springs,NY,,43.102394,-73.74242,Saratoga County,2019,2620,0.98,0.884,0.044,0,0.051,0,0,0.021,0.655,0.345,0.02,1,0,0,0,0,0,0,0,0,1259,66250,36,38,94,16,45,99,14,35,59,121,216,221,140,84,13,28,60200,68,24,27,71,57,56,0,0,13,30,89,0,0,16,33,0,24,11,49,13,10,42,0,0,0,0
138 Ulster Ave.,,Saugerties,NY,,42.079861,-73.960468,Ulster County,2019,1234,0.831,0.964,0.019,0,0,0,0,0.018,0,1,0.169,0.543,0,0,0,0,0.457,0,0,0,508,40913,11,25,49,10,46,29,65,52,8,29,56,37,31,0,60,0,160800,0,0,0,0,0,0,0,9,0,0,11,1,26,0,38,15,10,0,11,54,0,8,0,0,0,0
1879 Altamont Ave.,,Schenectady,NY,,42.782007,-73.954498,Schenectady County,2019,1037,0.999,0.99,0.002,0.001,0,0,0.007,0,0,0,0.001,1,0,0,0,0,0,0,0,0,380,49000,24,9,32,16,16,25,18,0,54,25,9,66,59,11,3,13,150200,0,0,0,5,0,0,0,0,5,12,15,0,28,35,42,57,45,38,0,0,0,3,0,0,0,0
442 Balltown Road,,Schenectady,NY,,42.776008,-73.892597,Schenectady County,2019,1112,0.85,0.98,0.02,0,0,0,0,0,0,0,0.15,0.754,0,0,0,0,0.108,0.138,0,1,378,72917,16,23,11,0,0,9,0,10,12,51,77,37,68,12,38,14,227000,0,0,0,0,0,0,16,0,9,0,0,26,0,11,24,23,41,51,21,119,14,0,0,0,0,0
1640 Eastern Parkway,,Schenectady,NY,,42.805615,-73.91353,Schenectady County,2019,1400,1,0.913,0.028,0,0,0,0,0.059,0.482,0.518,0,0,0,0,0,0,0,0,0,0,446,87500,22,0,28,40,3,8,0,24,24,44,12,38,74,62,21,46,145500,0,0,0,0,0,0,0,3,0,0,11,0,0,67,83,69,30,35,0,0,0,0,0,0,0,0
290 Saratoga Road,,Scotia,NY,,42.872424,-73.930655,Schenectady County,2019,1779,0.994,0.969,0.001,0,0.017,0,0,0.013,0,1,0.006,1,0,0,0,0,0,0,0,0,550,79271,0,7,13,14,24,27,30,0,38,48,39,106,30,78,69,27,189700,6,0,0,0,0,0,0,0,0,0,0,4,7,0,39,118,153,94,75,25,7,0,0,0,0,0
165 Delaware Ave.,,Sidney,NY,,42.190982,-74.787621,Delaware County,2019,548,0.978,0.918,0,0.007,0.015,0,0,0.06,0,1,0.022,0.667,0,0,0,0,0.333,0,0,0,267,48309,11,11,14,15,13,15,27,19,20,17,28,23,6,28,10,10,237500,3,0,0,0,0,0,0,0,3,2,3,0,11,14,15,19,18,36,41,40,7,12,6,0,0,0
1395 New Scotland Ave.,,Slingerlands,NY,,42.639072,-73.856759,Albany County,2019,736,0.981,0.91,0.003,0,0.087,0,0,0,0,0,0.019,1,0,0,0,0,0,0,0,0,336,155900,15,0,0,0,0,16,14,0,0,0,14,26,37,37,25,152,365500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24,129,77,14,0,0,12,0
4713 Onondaga Blvd.,,Syracuse,NY,,43.034998,-76.191064,Onondaga County,2019,1242,0.975,0.938,0.024,0,0.002,0,0,0.036,0.159,0.841,0.025,1,0,0,0,0,0,0,0,0,418,46786,10,51,37,32,9,10,18,22,43,32,14,59,15,38,10,18,107200,0,0,0,0,0,0,0,3,0,28,9,38,71,92,81,14,0,10,0,0,0,0,5,0,0,0
2515 Erie Blvd.,,Syracuse,NY,,43.054741,-76.102172,Onondaga County,2019,1292,0.913,0.408,0.502,0,0.06,0,0,0.03,0,1,0.087,0.196,0.188,0,0,0,0.616,0,0,0,583,36815,38,42,40,31,90,20,67,79,15,17,63,27,42,6,6,0,78500,0,0,0,0,0,0,0,0,0,19,60,11,18,9,17,0,6,0,0,0,0,0,0,0,0,0
716 Hoosick Road,,Troy,NY,,42.742171,-73.643382,Rensselaer County,2019,1592,0.987,0.849,0.048,0,0.094,0,0.01,0,0,0,0.013,1,0,0,0,0,0,0,0,0,710,69333,26,61,16,77,0,0,16,26,47,30,93,61,103,60,38,56,244100,0,0,0,0,0,0,0,0,0,0,0,0,44,14,16,0,0,59,53,38,13,15,0,0,0,0
